FECHA,HORA,AJM,BJU,CAM,FAR,GAM,HGM,INN,MER,MGH,MPA,PED,SAC,SAG,SFE,TLA,UIZ,XAL
1/10/2024,10,5,8,7,-99,-99,-99,-99,7,-99,-99,7,-99,-99,-99,14,-99,-99
1/10/2024,11,5,7,10,-99,-99,-99,-99,8,-99,-99,6,-99,-99,-99,17,-99,-99
1/10/2024,12,7,10,6,-99,-99,-99,-99,12,-99,-99,7,-99,-99,-99,18,-99,-99
1/10/2024,13,7,10,11,-99,-99,-99,-99,15,-99,-99,8,-99,-99,-99,19,-99,-99
1/10/2024,14,8,14,17,-99,-99,-99,-99,13,-99,-99,9,-99,-99,-99,21,-99,-99
1/10/2024,15,11,16,16,-99,-99,-99,-99,16,-99,-99,11,-99,-99,-99,17,-99,-99
1/10/2024,16,10,14,17,-99,-99,-99,-99,21,-99,-99,10,-99,-99,-99,17,-99,-99
1/10/2024,17,9,11,16,-99,-99,-99,-99,21,-99,-99,9,-99,-99,-99,19,-99,-99
1/10/2024,18,8,13,16,-99,-99,-99,-99,13,-99,-99,9,-99,-99,-99,-99,-99,-99
1/10/2024,19,7,11,14,-99,-99,-99,-99,16,-99,-99,7,-99,-99,-99,16,-99,-99
1/10/2024,20,6,11,14,-99,-99,-99,-99,13,-99,-99,7,-99,-99,-99,17,-99,-99
1/10/2024,21,7,13,14,-99,-99,-99,-99,10,-99,-99,7,-99,-99,-99,17,-99,-99
1/10/2024,22,7,10,12,-99,-99,-99,-99,7,-99,-99,8,-99,-99,-99,20,-99,-99
1/10/2024,23,7,10,11,-99,-99,-99,-99,9,-99,-99,7,-99,-99,-99,-99,-99,-99
1/10/2024,24,6,5,9,-99,-99,-99,-99,4,-99,-99,7,-99,-99,-99,12,-99,-99
2/10/2024,1,4,7,5,-99,-99,-99,-99,7,-99,-99,4,-99,-99,-99,9,-99,-99
2/10/2024,2,2,3,3,-99,-99,-99,-99,7,-99,-99,2,-99,-99,-99,5,-99,-99
2/10/2024,3,-99,3,6,-99,-99,-99,-99,8,-99,-99,2,-99,-99,-99,6,-99,-99
2/10/2024,4,-99,3,4,-99,-99,-99,-99,8,-99,-99,3,-99,-99,-99,6,-99,-99
2/10/2024,5,-99,3,4,-99,-99,-99,-99,6,-99,-99,1,-99,-99,-99,4,-99,-99
2/10/2024,6,-99,2,8,-99,-99,-99,-99,4,-99,-99,1,-99,-99,-99,7,-99,-99
2/10/2024,7,-99,4,8,-99,-99,-99,-99,7,-99,-99,3,-99,-99,-99,13,-99,-99
2/10/2024,8,2,5,9,-99,-99,-99,-99,11,-99,-99,3,-99,-99,-99,10,-99,-99
2/10/2024,9,1,4,6,-99,-99,-99,-99,12,-99,-99,2,-99,-99,-99,16,-99,-99
2/10/2024,10,3,9,15,-99,-99,-99,-99,13,-99,-99,4,-99,-99,-99,20,-99,-99
2/10/2024,11,4,-99,17,-99,-99,-99,-99,12,-99,-99,6,-99,-99,-99,17,-99,-99
2/10/2024,12,9,-99,20,-99,-99,-99,-99,9,-99,-99,10,-99,-99,-99,-99,-99,-99
2/10/2024,13,9,-99,20,-99,-99,-99,-99,8,-99,-99,11,-99,-99,-99,23,-99,-99
2/10/2024,14,12,-99,14,-99,-99,-99,-99,8,-99,-99,13,-99,-99,-99,19,-99,-99
2/10/2024,15,10,-99,15,-99,-99,-99,-99,8,-99,-99,10,-99,-99,-99,19,-99,-99
2/10/2024,16,9,-99,16,-99,-99,-99,-99,12,-99,-99,12,-99,-99,-99,20,-99,-99
2/10/2024,17,12,-99,17,-99,-99,-99,-99,14,-99,-99,11,-99,-99,-99,18,-99,-99
2/10/2024,18,14,-99,20,-99,-99,-99,-99,12,-99,-99,12,-99,-99,-99,22,-99,-99
2/10/2024,19,14,-99,19,-99,-99,-99,-99,12,-99,-99,12,-99,-99,-99,-99,-99,-99
